applicant_id	email_id	inserted	delivered	failed	opened	from_email	from_name	subject	attachments	http_status
61823	1498124	2025-06-04T14:52:43+03:00	2025-06-04T14:54:21+03:00		2025-06-04T14:54:27+03:00	admissions@vilniustech.lt	VILNIUS TECH	Invoice #-		200
61823	1498123	2025-06-04T14:52:30+03:00	2025-06-04T14:54:21+03:00		2025-06-05T22:25:20+03:00	admissions@vilniustech.lt	VILNIUS TECH	Reply Conditionally accepted from Vilnius Gedimina	attachment_included	200
61823	1498121	2025-06-04T14:50:58+03:00	2025-06-04T14:52:22+03:00		2025-06-04T14:52:28+03:00	admissions@vilniustech.lt	VILNIUS TECH	You have been awarded a VILNIUS TECH scholarship f		200
61823	1493776	2025-05-26T16:09:29+03:00	2025-05-26T16:10:24+03:00		2025-05-26T17:41:18+03:00	admissions@vilniustech.lt	VILNIUS TECH	Please review your offers		200
61823	1491242	2025-05-19T15:48:26+03:00	2025-05-19T15:50:24+03:00		2025-05-19T17:02:13+03:00	admissions@vilniustech.lt	VILNIUS TECH	Please review your offers		200
61823	1488593	2025-05-12T15:48:24+03:00	2025-05-12T15:50:24+03:00		2025-05-12T16:17:37+03:00	admissions@vilniustech.lt	VILNIUS TECH	Please review your offers		200
61823	1488585	2025-05-12T15:33:41+03:00	2025-05-12T15:34:22+03:00		2025-05-12T16:17:37+03:00	admissions@vilniustech.lt	VILNIUS TECH	Invoice #-		200
61823	1488584	2025-05-12T15:33:29+03:00	2025-05-12T15:34:21+03:00		2025-05-12T15:48:14+03:00	admissions@vilniustech.lt	VILNIUS TECH	Invoice #-		200
61823	1488583	2025-05-12T15:33:29+03:00	2025-05-12T15:34:21+03:00		2025-05-12T15:48:14+03:00	admissions@vilniustech.lt	VILNIUS TECH	Reply Conditionally accepted from Vilnius Gedimina	attachment_included	200
61823	1488176	2025-05-11T11:48:27+03:00	2025-05-11T11:49:25+03:00		2025-05-11T18:12:44+03:00	admissions@vilniustech.lt	VILNIUS TECH	Reminder about your interview		200
61823	1487892	2025-05-10T11:27:29+03:00	2025-05-10T11:29:26+03:00		2025-05-10T11:31:34+03:00	admissions@vilniustech.lt	VILNIUS TECH	Reminder about your interview		200
61823	1487578	2025-05-09T11:15:30+03:00	2025-05-09T11:16:22+03:00		2025-05-09T11:16:29+03:00	admissions@vilniustech.lt	VILNIUS TECH	VILNIUS TECH invites you to an online interview fo		200
61823	1486784	2025-05-07T15:10:31+03:00	2025-05-07T15:12:21+03:00		2025-05-07T15:26:51+03:00	admissions@vilniustech.lt	VILNIUS TECH	Vilnius Gediminas Technical University invites you		200
61823	1482774	2025-04-28T15:44:25+03:00	2025-04-28T15:45:22+03:00		2025-04-28T15:45:49+03:00	admissions@vilniustech.lt	VILNIUS TECH	Vilnius Gediminas Technical University invites you		200
61823	1479274	2025-04-21T00:03:19+03:00	2025-04-21T00:03:21+03:00		2025-04-21T00:03:27+03:00	admissions@vilniustech.lt	VILNIUS TECH	Your application has been submitted		200
61823	1479180	2025-04-20T22:21:50+03:00	2025-04-20T22:23:22+03:00		2025-04-20T22:31:30+03:00	admissions@vilniustech.lt	VILNIUS TECH	Reference has been submitted		200
61823	1479146	2025-04-20T21:09:30+03:00	2025-04-20T21:11:25+03:00			admissions@vilniustech.lt	VILNIUS TECH	A reminder about an upcoming deadline		200
61823	1479140	2025-04-20T21:09:29+03:00	2025-04-20T21:11:24+03:00			admissions@vilniustech.lt	VILNIUS TECH	Passport		200
61823	1479139	2025-04-20T21:09:29+03:00	2025-04-20T21:11:24+03:00			admissions@vilniustech.lt	VILNIUS TECH	Translation of documents		200
61823	1479138	2025-04-20T21:09:29+03:00	2025-04-20T21:11:24+03:00			admissions@vilniustech.lt	VILNIUS TECH	References		200
61823	1479137	2025-04-20T21:09:29+03:00	2025-04-20T21:11:23+03:00			admissions@vilniustech.lt	VILNIUS TECH	Entry qualification documents		200
61823	1479136	2025-04-20T21:09:29+03:00	2025-04-20T21:11:23+03:00			admissions@vilniustech.lt	VILNIUS TECH	Proof of English language proficiency		200
61823	1464852	2025-03-20T12:46:42+02:00	2025-03-20T13:17:24+02:00			admissions@vilniustech.lt	VILNIUS TECH	TODAY - Online Open day at VILNIUS TECH		200
61823	1460538	2025-03-12T16:20:42+02:00	2025-03-12T16:48:23+02:00			admissions@vilniustech.lt	VILNIUS TECH	March th - Online Open day at VILNIUS TECH		200
61823	1451295	2025-02-24T08:58:37+02:00	2025-02-24T09:19:25+02:00		2025-02-24T09:44:50+02:00	admissions@vilniustech.lt	VILNIUS TECH	Q&A Discover Series – Meet the Faculties		200
61823	1448886	2025-02-19T11:21:42+02:00	2025-02-19T11:24:21+02:00		2025-02-19T14:21:04+02:00	admissions@vilniustech.lt	VILNIUS TECH	Q&A Discover Series – Meet the Faculty of Transpor		200
61823	1429757	2024-11-28T23:00:22+02:00	2024-11-28T23:01:23+02:00		2025-02-17T23:23:42+02:00	admissions@vilniustech.lt	VILNIUS TECH	A reminder about your application		200
61823	1429755	2024-11-28T22:48:22+02:00	2024-11-28T22:49:22+02:00		2025-02-21T17:18:21+02:00	admissions@vilniustech.lt	VILNIUS TECH	Passport		200
61823	1429369	2024-11-21T22:48:21+02:00	2024-11-21T22:49:21+02:00		2025-02-21T17:18:20+02:00	admissions@vilniustech.lt	VILNIUS TECH	Passport		200
61823	1295015	2023-04-19T12:09:59+03:00	2023-04-19T12:25:22+03:00		2023-05-02T23:38:13+03:00	admissions@vilniustech.lt	VILNIUS TECH	Scholarship Application Deadline Tomorrow		200
61823	1279231	2023-01-11T15:00:20+02:00	2023-01-11T15:01:20+02:00		2023-05-02T23:38:13+03:00	admissions@vilniustech.lt	VILNIUS TECH	A reminder about your application		200
61823	1279225	2023-01-11T13:48:21+02:00	2023-01-11T13:49:20+02:00		2023-05-02T23:38:13+03:00	admissions@vilniustech.lt	VILNIUS TECH	Passport		200
61823	1278372	2023-01-04T13:27:22+02:00	2023-01-04T13:28:21+02:00		2023-01-05T12:55:15+02:00	admissions@vilniustech.lt	VILNIUS TECH	Passport		200
61823	1228030	2021-08-23T18:49:21+03:00	2021-08-23T18:49:22+03:00		2021-08-24T12:27:18+03:00	tsc@vilniustech.lt	VILNIUS TECH	Reply Accepted from Vilnius Gediminas Technical Un	attachment_included	200
61823	1227614	2021-08-18T14:08:15+03:00	2021-08-18T14:08:21+03:00		2021-08-18T18:10:49+03:00	tsc@vilniustech.lt	VILNIUS TECH	Reply Conditionally accepted from Vilnius Gedimina	attachment_included	200
61823	1227350	2021-08-13T11:31:47+03:00	2021-08-13T11:32:21+03:00		2021-08-13T13:42:45+03:00	tsc@vilniustech.lt	VILNIUS TECH	Payment for Invoice #-		200
61823	1226747	2021-08-03T11:59:17+03:00	2021-08-03T11:59:20+03:00		2021-08-03T13:41:41+03:00	tsc@vilniustech.lt	VILNIUS TECH	Invoice #-		200
61823	1226653	2021-08-01T00:26:39+03:00	2021-08-01T00:27:23+03:00		2021-08-01T00:26:56+03:00	tsc@vilniustech.lt	VILNIUS TECH	Your final decision		200
61823	1226335	2021-07-27T17:27:27+03:00	2021-07-27T17:28:20+03:00		2021-07-28T13:53:18+03:00	tsc@vilniustech.lt	VILNIUS TECH	Please review your offers		200
61823	1225575	2021-07-21T09:39:03+03:00	2021-07-21T09:39:21+03:00		2021-07-21T10:45:51+03:00	tsc@vilniustech.lt	VILNIUS TECH	Invoice #-		200
61823	1225574	2021-07-21T09:38:39+03:00	2021-07-21T09:39:21+03:00		2021-07-21T10:45:51+03:00	tsc@vilniustech.lt	VILNIUS TECH	Invoice #-		200
61823	1225546	2021-07-20T17:09:22+03:00	2021-07-20T17:10:21+03:00		2021-07-21T10:45:59+03:00	tsc@vilniustech.lt	VILNIUS TECH	Please review your offers		200
61823	1224173	2021-07-13T16:48:22+03:00	2021-07-13T16:49:22+03:00		2021-07-14T01:24:28+03:00	tsc@vilniustech.lt	VILNIUS TECH	Please review your offers		200
61823	1224164	2021-07-13T16:28:05+03:00	2021-07-13T16:28:24+03:00		2021-07-14T01:22:35+03:00	tsc@vilniustech.lt	VILNIUS TECH	Invoice #-		200
61823	1224163	2021-07-13T16:28:05+03:00	2021-07-13T16:28:24+03:00		2021-07-14T01:22:35+03:00	tsc@vilniustech.lt	VILNIUS TECH	Reply Conditionally accepted from Vilnius Gedimina	attachment_included	200
61823	1220849	2021-06-16T16:50:05+03:00	2021-06-16T16:50:21+03:00		2021-06-16T18:54:52+03:00	tsc@vilniustech.lt	VILNIUS TECH	Payment for Invoice #-		200
61823	1220848	2021-06-16T16:49:59+03:00	2021-06-16T16:50:21+03:00		2021-06-16T18:53:30+03:00	tsc@vilniustech.lt	VILNIUS TECH	Vilnius Gediminas Technical University invites you		200
61823	1220820	2021-06-16T13:44:15+03:00	2021-06-16T13:44:22+03:00		2021-06-16T13:50:52+03:00	tsc@vilniustech.lt	VILNIUS TECH	Invoice #-		200
61823	1220819	2021-06-16T13:44:15+03:00	2021-06-16T13:44:22+03:00		2021-06-16T13:50:52+03:00	tsc@vilniustech.lt	VILNIUS TECH	Your application has been submitted		200
61823	1220816	2021-06-16T13:13:57+03:00	2021-06-16T13:14:21+03:00		2021-06-16T13:14:57+03:00	tsc@vilniustech.lt	VILNIUS TECH	Reference has been submitted		200
61823	1220808	2021-06-16T11:23:22+03:00	2021-06-16T11:24:21+03:00		2021-06-16T11:37:08+03:00	tsc@vilniustech.lt	VILNIUS TECH	Reference has been submitted		200
61823	1220645	2021-06-15T01:05:14+03:00	2021-06-15T01:05:21+03:00		2021-06-15T10:06:47+03:00	tsc@vilniustech.lt	VILNIUS TECH	Reference has been submitted		200
61823	1220383	2021-06-11T22:31:57+03:00	2021-06-11T22:32:22+03:00		2021-06-12T16:30:54+03:00	tsc@vilniustech.lt	VILNIUS TECH	Welcome		200
