application	activity	logged
809885	Tracker was added to ['IEES']	2025-04-25T13:09:35Z
809885	Application was flagged	2025-04-25T13:10:32Z
809885	Application was flagged	2025-04-29T12:57:19Z
809885	Interview was evaluated	2025-05-09T15:40:11Z
809885	Applicant decision: ['None']	2025-05-13T15:28:28Z
809885	Offer was edited: ['Conditionally accepted']	2025-05-13T15:28:28Z
809885	Offer was confirmed: ['Conditionally accepted']	2025-05-13T15:28:29Z
809885	Invoice was issued	2025-05-13T15:28:29Z
809885	Invoice was edited	2025-05-13T15:28:35Z
809885	Offer was edited: ['Other']	2025-05-13T15:28:44Z
809885	Offer was confirmed: ['Other']	2025-05-13T15:28:44Z
809885	Applicant decision: ['None']	2025-05-17T08:27:45Z
809885	Offer was edited: ['Conditionally accepted']	2025-05-17T08:27:45Z
809885	Offer was confirmed: ['Conditionally accepted']	2025-05-17T08:27:45Z
809885	Invoice was issued	2025-05-17T08:27:46Z
809885	Offer was edited: ['Other']	2025-05-17T08:27:55Z
809885	Invoice was deleted	2025-05-17T08:28:05Z
809885	Invoice was edited	2025-05-17T08:28:15Z
809885	Interview was evaluated	2025-05-21T13:22:55Z
809885	Applicant decision: ['None']	2025-06-03T13:16:48Z
809885	Offer was edited: ['Scholarship']	2025-06-03T13:16:48Z
809885	Offer was confirmed: ['Scholarship']	2025-06-03T13:16:49Z
809885	Invoice was deleted	2025-06-03T13:17:04Z
809885	Invoice was issued	2025-06-03T13:17:12Z
809885	Invoice was issued	2025-06-03T13:17:33Z
809885	Applicant decision: ['Final']	2025-06-03T13:19:21Z
809885	Offer was edited: ['Conditionally accepted']	2025-06-03T13:19:21Z
809885	Offer was confirmed: ['Conditionally accepted']	2025-06-03T13:19:22Z
809885	Invoice was deleted	2025-06-04T16:30:21Z
809885	Invoice was deleted	2025-06-04T16:30:24Z
809885	Invoice was issued	2025-06-04T16:33:05Z
809885	Invoice was edited	2025-06-04T16:33:09Z
809885	Invoice was collected	2025-06-04T16:33:35Z
809885	Applicant decision: ['Final']	2025-06-28T15:06:20Z
809885	Offer was edited: ['49']	2025-06-28T15:06:20Z
809885	Offer was confirmed: ['49']	2025-06-28T15:06:20Z
809885	Application was flagged	2025-08-12T14:52:23Z
809885	Applicant decision: ['Final']	2025-08-12T14:59:18Z
809885	Offer was edited: ['Accepted']	2025-08-12T14:59:18Z
809885	Offer was confirmed: ['Accepted']	2025-08-12T14:59:18Z
806893	Invoice was collected	2025-04-26T12:56:56Z
806893	Invoice was collected in full	2025-04-26T12:56:56Z
806893	Application was flagged	2025-04-29T10:45:48Z
806893	Interview was evaluated	2025-05-08T14:48:53Z
806893	Applicant decision: ['None']	2025-05-13T12:37:33Z
806893	Offer was edited: ['Conditionally accepted']	2025-05-13T12:37:33Z
806893	Offer was confirmed: ['Conditionally accepted']	2025-05-13T12:37:33Z
806893	Invoice was issued	2025-05-13T12:37:33Z
806893	Invoice was edited	2025-05-13T12:38:01Z
806893	Offer was edited: ['Other']	2025-05-13T12:38:07Z
806893	Offer was edited: ['Other']	2025-05-13T12:38:13Z
806893	Interview was evaluated	2025-05-14T09:11:50Z
806893	Applicant decision: ['None']	2025-05-31T11:12:36Z
806893	Offer was edited: ['Scholarship']	2025-05-31T11:12:36Z
806893	Offer was confirmed: ['Scholarship']	2025-05-31T11:12:36Z
806893	Applicant decision: ['Final']	2025-05-31T11:13:35Z
806893	Offer was edited: ['Conditionally accepted']	2025-05-31T11:13:35Z
806893	Offer was confirmed: ['Conditionally accepted']	2025-05-31T11:13:35Z
806893	Invoice was deleted	2025-05-31T11:13:41Z
806893	Invoice was issued	2025-05-31T11:13:49Z
806893	Invoice was collected	2025-06-06T10:56:59Z
806893	Invoice was collected in full	2025-06-06T10:56:59Z
806893	Applicant decision: ['Final']	2025-07-09T10:01:58Z
806893	Offer was edited: ['49']	2025-07-09T10:01:58Z
806893	Offer was confirmed: ['49']	2025-07-09T10:01:58Z
806893	Applicant decision: ['Final']	2025-08-01T15:39:20Z
806893	Offer was edited: ['Accepted']	2025-08-01T15:39:20Z
806893	Offer was confirmed: ['Accepted']	2025-08-01T15:39:20Z
809891	Invoice was collected	2025-04-29T12:15:42Z
809891	Invoice was collected in full	2025-04-29T12:15:42Z
809891	Application was flagged	2025-04-29T14:33:44Z
809891	Application was flagged	2025-04-29T14:34:20Z
809891	Interview was evaluated	2025-05-06T15:43:58Z
809891	Tracker was added to ['BUCKS']	2025-05-22T11:17:02Z
809891	Interview was evaluated	2025-05-28T10:35:36Z
809891	Applicant decision: ['None']	2025-05-31T12:37:45Z
809891	Offer was edited: ['Conditionally accepted']	2025-05-31T12:37:45Z
809891	Offer was confirmed: ['Conditionally accepted']	2025-05-31T12:37:46Z
809891	Invoice was issued	2025-05-31T12:37:46Z
809891	Invoice was edited	2025-05-31T12:38:10Z
809891	Invoice was edited	2025-05-31T12:38:12Z
809891	Applicant decision: ['None']	2025-05-31T12:38:31Z
809891	Offer was edited: ['Scholarship']	2025-05-31T12:38:31Z
809891	Offer was confirmed: ['Scholarship']	2025-05-31T12:38:31Z
809891	Applicant decision: ['None']	2025-06-05T14:26:31Z
809891	Offer was edited: ['Scholarship']	2025-06-05T14:26:32Z
809891	Offer was confirmed: ['Scholarship']	2025-06-05T14:26:32Z
809891	Invoice was deleted	2025-06-05T14:26:54Z
809891	Invoice was issued	2025-06-05T14:27:13Z
809891	Invoice was edited	2025-06-20T15:12:23Z
809891	Invoice was deleted	2025-07-03T13:19:51Z
809891	Invoice was issued	2025-07-03T13:21:02Z
809891	Invoice was edited	2025-07-03T13:21:19Z
809891	Invoice was issued	2025-07-03T13:22:32Z
809891	Invoice was edited	2025-07-03T13:23:23Z
809891	Invoice was collected	2025-07-17T13:26:52Z
809891	Invoice was collected in full	2025-07-17T13:26:52Z
809891	Application was flagged	2025-07-17T13:27:35Z
809891	Applicant decision: ['Final']	2025-08-22T14:26:56Z
809891	Offer was edited: ['Accepted']	2025-08-22T14:26:56Z
809891	Offer was confirmed: ['Accepted']	2025-08-22T14:26:56Z
809891	Invoice was collected	2025-12-23T11:43:00Z
809891	Invoice was collected in full	2025-12-23T11:43:00Z
808883	Invoice was collected	2025-04-26T08:56:44Z
808883	Invoice was collected in full	2025-04-26T08:56:44Z
808883	Application was flagged	2025-04-26T09:45:51Z
808883	Application was flagged	2025-05-08T15:17:06Z
808883	Interview was evaluated	2025-05-08T15:18:16Z
808883	Interview was evaluated	2025-05-09T13:27:36Z
808883	Applicant decision: ['None']	2025-05-30T15:12:52Z
808883	Offer was edited: ['Scholarship']	2025-05-30T15:12:52Z
808883	Offer was confirmed: ['Scholarship']	2025-05-30T15:12:52Z
808883	Applicant decision: ['None']	2025-05-30T15:14:55Z
808883	Offer was edited: ['Conditionally accepted']	2025-05-30T15:14:55Z
808883	Offer was confirmed: ['Conditionally accepted']	2025-05-30T15:14:55Z
808883	Invoice was issued	2025-05-30T15:14:55Z
808883	Invoice was deleted	2025-05-30T15:15:04Z
808883	Invoice was issued	2025-05-30T15:15:15Z
808883	Invoice was collected	2025-06-13T16:27:59Z
808883	Invoice was collected in full	2025-06-13T16:27:59Z
808883	Application was flagged	2025-06-13T16:29:44Z
808883	Application was un-flagged	2025-07-16T16:05:01Z
808883	Offer was edited: ['49']	2025-08-21T10:43:25Z
808883	Offer was confirmed: ['49']	2025-08-21T10:43:25Z
808883	Applicant decision: ['None']	2025-08-21T10:51:15Z
808883	Offer was edited: ['Accepted']	2025-08-21T10:51:15Z
808883	Offer was confirmed: ['Accepted']	2025-08-21T10:51:15Z
808883	Applicant decision: ['Final']	2025-09-20T12:31:13Z
808883	Offer was edited: ['Accepted']	2025-09-20T12:31:13Z
808883	Offer was confirmed: ['Accepted']	2025-09-20T12:31:14Z
808883	Applicant decision: ['Final']	2025-09-20T12:34:38Z
808883	Offer was edited: ['Accepted']	2025-09-20T12:34:38Z
808883	Offer was confirmed: ['Accepted']	2025-09-20T12:34:38Z
809568	Interview was evaluated	2025-05-17T14:53:07Z
809568	Application was flagged	2025-05-17T14:53:10Z
809568	Interview was evaluated	2025-05-21T13:19:24Z
809568	Applicant decision: ['None']	2025-05-30T15:48:43Z
809568	Offer was edited: ['Scholarship']	2025-05-30T15:48:43Z
809568	Offer was confirmed: ['Scholarship']	2025-05-30T15:48:43Z
809568	Applicant decision: ['None']	2025-05-30T15:49:58Z
809568	Offer was edited: ['Conditionally accepted']	2025-05-30T15:49:58Z
809568	Offer was confirmed: ['Conditionally accepted']	2025-05-30T15:49:58Z
809568	Invoice was issued	2025-05-30T15:49:58Z
809568	Invoice was deleted	2025-05-30T15:50:05Z
809568	Invoice was issued	2025-05-30T15:50:13Z
809568	Application was flagged	2025-06-05T14:58:52Z
809568	Application was un-flagged	2025-06-07T13:43:14Z
809568	Offer was edited: ['49']	2025-06-14T12:25:32Z
809568	Offer was confirmed: ['49']	2025-06-14T12:25:32Z
809568	Applicant decision: ['None']	2025-08-13T09:19:01Z
809568	Offer was edited: ['Accepted']	2025-08-13T09:19:01Z
809568	Offer was confirmed: ['Accepted']	2025-08-13T09:19:01Z
808013	Interview was evaluated	2025-02-22T11:53:24Z
808013	Application was flagged	2025-02-22T11:53:28Z
808013	Application was un-flagged	2025-03-05T17:01:25Z
808013	Application was flagged	2025-03-07T15:51:39Z
808013	Application was flagged	2025-03-13T15:59:04Z
808013	Application was un-flagged	2025-04-08T11:29:30Z
808013	Applicant decision: ['None']	2025-04-09T14:44:10Z
808013	Offer was edited: ['Conditionally accepted']	2025-04-09T14:44:10Z
808013	Offer was confirmed: ['Conditionally accepted']	2025-04-09T14:44:10Z
808013	Invoice was issued	2025-04-09T14:44:11Z
808013	Invoice was edited	2025-04-09T14:44:39Z
808013	Offer was edited: ['Other']	2025-04-09T14:44:47Z
808013	Interview was evaluated	2025-05-21T12:44:15Z
808013	Applicant decision: ['None']	2025-05-31T12:34:51Z
808013	Offer was edited: ['Scholarship']	2025-05-31T12:34:51Z
808013	Offer was confirmed: ['Scholarship']	2025-05-31T12:34:52Z
808013	Applicant decision: ['Final']	2025-05-31T12:35:39Z
808013	Offer was edited: ['Conditionally accepted']	2025-05-31T12:35:39Z
808013	Offer was confirmed: ['Conditionally accepted']	2025-05-31T12:35:39Z
808013	Invoice was deleted	2025-05-31T12:35:48Z
808013	Invoice was issued	2025-05-31T12:35:53Z
808013	Applicant decision: ['Final']	2025-05-31T12:36:23Z
808013	Offer was edited: ['Conditionally accepted']	2025-05-31T12:36:23Z
808013	Offer was confirmed: ['Conditionally accepted']	2025-05-31T12:36:24Z
807032	Interview was evaluated	2025-02-04T12:14:21Z
807032	Application was flagged	2025-02-11T14:06:03Z
807032	Application was flagged	2025-03-19T11:43:43Z
807032	Applicant decision: ['None']	2025-04-08T10:57:42Z
807032	Offer was edited: ['Conditionally accepted']	2025-04-08T10:57:42Z
807032	Offer was confirmed: ['Conditionally accepted']	2025-04-08T10:57:42Z
807032	Invoice was issued	2025-04-08T10:57:42Z
807032	Invoice was edited	2025-04-08T10:58:09Z
807032	Invoice was edited	2025-04-08T10:58:10Z
807032	Application was un-flagged	2025-04-08T11:01:33Z
807032	Applicant decision: ['None']	2025-04-08T15:17:54Z
807032	Offer was edited: ['Conditionally accepted']	2025-04-08T15:17:54Z
807032	Offer was confirmed: ['Conditionally accepted']	2025-04-08T15:17:54Z
807032	Interview was evaluated	2025-05-07T11:20:41Z
807032	Applicant decision: ['None']	2025-06-03T13:24:54Z
807032	Offer was edited: ['Scholarship']	2025-06-03T13:24:54Z
807032	Offer was confirmed: ['Scholarship']	2025-06-03T13:24:55Z
807032	Invoice was deleted	2025-06-03T13:25:02Z
807032	Invoice was issued	2025-06-03T13:25:10Z
807032	Invoice was issued	2025-06-03T13:25:29Z
807032	Applicant decision: ['None']	2025-06-03T13:26:44Z
807032	Offer was edited: ['Conditionally accepted']	2025-06-03T13:26:44Z
807032	Offer was confirmed: ['Conditionally accepted']	2025-06-03T13:26:44Z
807032	Application was flagged	2025-06-11T15:52:18Z
807032	Application was flagged	2025-06-12T14:40:55Z
807032	Applicant decision: ['Final']	2025-06-19T14:25:32Z
807032	Offer was edited: ['49']	2025-06-19T14:25:32Z
807032	Offer was confirmed: ['49']	2025-06-19T14:25:33Z
807032	Applicant decision: ['Final']	2025-06-19T14:29:36Z
807032	Offer was edited: ['49']	2025-06-19T14:29:36Z
807032	Offer was confirmed: ['49']	2025-06-19T14:29:36Z
807032	Applicant decision: ['Final']	2025-06-27T15:16:02Z
807032	Offer was edited: ['49']	2025-06-27T15:16:02Z
807032	Offer was confirmed: ['49']	2025-06-27T15:16:02Z
807032	Applicant decision: ['Final']	2025-08-01T16:15:29Z
807032	Offer was edited: ['Accepted']	2025-08-01T16:15:29Z
807032	Offer was confirmed: ['Accepted']	2025-08-01T16:15:29Z
807032	Applicant decision: ['Final']	2025-09-04T15:16:23Z
807032	Offer was edited: ['49']	2025-09-04T15:16:23Z
807032	Offer was confirmed: ['49']	2025-09-04T15:16:24Z
807032	Applicant decision: ['Final']	2025-09-04T15:16:26Z
807032	Offer was edited: ['Accepted']	2025-09-04T15:16:26Z
807445	Interview was evaluated	2025-01-21T15:22:00Z
807445	Applicant decision: ['None']	2025-01-21T15:28:45Z
807445	Offer was edited: ['Conditionally accepted']	2025-01-21T15:28:45Z
807445	Offer was confirmed: ['Conditionally accepted']	2025-01-21T15:28:45Z
807445	Invoice was issued	2025-01-21T15:28:46Z
807445	Offer was edited: ['Other']	2025-01-21T15:28:52Z
807445	Offer was confirmed: ['Other']	2025-01-21T15:28:52Z
807445	Offer was edited: ['Other']	2025-01-21T15:28:56Z
807445	Offer was confirmed: ['Other']	2025-01-21T15:28:56Z
807445	Invoice was edited	2025-01-21T15:29:20Z
807445	Offer was edited: ['Unreplied']	2025-01-22T10:21:05Z
807445	Offer was edited: ['Other']	2025-02-01T14:39:06Z
807445	Offer was confirmed: ['Other']	2025-02-01T14:39:07Z
807445	Offer was edited: ['Unreplied']	2025-02-05T12:19:00Z
807445	Application was flagged	2025-02-11T14:08:13Z
807445	Offer was edited: ['Failed']	2025-02-26T11:57:24Z
807445	Offer was confirmed: ['Failed']	2025-02-26T11:57:25Z
807445	Interview was evaluated	2025-02-26T11:57:30Z
807445	Invoice was collected	2025-02-27T13:38:45Z
807445	Invoice was collected in full	2025-02-27T13:38:45Z
807445	Applicant decision: ['Final']	2025-03-13T14:18:30Z
807445	Offer was edited: ['49']	2025-03-13T14:18:30Z
807445	Offer was confirmed: ['49']	2025-03-13T14:18:30Z
807445	Interview was evaluated	2025-05-21T16:22:03Z
807445	Applicant decision: ['None']	2025-06-05T12:33:02Z
807445	Offer was edited: ['Scholarship']	2025-06-05T12:33:02Z
807445	Offer was confirmed: ['Scholarship']	2025-06-05T12:33:02Z
807445	Applicant decision: ['None']	2025-08-05T15:09:59Z
807445	Offer was edited: ['Accepted']	2025-08-05T15:09:59Z
807445	Offer was confirmed: ['Accepted']	2025-08-05T15:09:59Z
807445	Application was flagged	2025-08-05T15:10:02Z
808695	Interview was evaluated	2025-04-12T14:34:30Z
808695	Applicant decision: ['None']	2025-04-12T14:36:18Z
808695	Offer was edited: ['Conditionally accepted']	2025-04-12T14:36:18Z
808695	Offer was confirmed: ['Conditionally accepted']	2025-04-12T14:36:18Z
808695	Invoice was issued	2025-04-12T14:36:18Z
808695	Invoice was edited	2025-04-12T14:36:40Z
808695	Application was flagged	2025-04-12T14:36:47Z
808695	Application was flagged	2025-05-13T08:36:11Z
808695	Invoice was edited	2025-05-13T08:37:01Z
808695	Interview was evaluated	2025-05-22T10:45:06Z
808695	Applicant decision: ['None']	2025-06-05T13:06:20Z
808695	Offer was edited: ['Scholarship']	2025-06-05T13:06:20Z
808695	Offer was confirmed: ['Scholarship']	2025-06-05T13:06:20Z
808695	Applicant decision: ['Final']	2025-06-05T13:08:47Z
808695	Offer was edited: ['Conditionally accepted']	2025-06-05T13:08:47Z
808695	Offer was confirmed: ['Conditionally accepted']	2025-06-05T13:08:47Z
808695	Invoice was deleted	2025-06-05T13:08:54Z
808695	Invoice was issued	2025-06-05T13:09:00Z
808695	Invoice was issued	2025-06-05T13:09:19Z
809759	Application was flagged	2025-04-23T11:23:20Z
809759	Offer was edited: ['Feedback']	2025-05-03T11:03:29Z
809759	Offer was confirmed: ['Feedback']	2025-05-03T11:03:29Z
809759	Interview was evaluated	2025-05-03T11:04:49Z
809759	Interview was evaluated	2025-05-17T09:45:17Z
809759	Applicant decision: ['None']	2025-05-31T12:44:31Z
809759	Offer was edited: ['Scholarship']	2025-05-31T12:44:31Z
809759	Offer was confirmed: ['Scholarship']	2025-05-31T12:44:31Z
809759	Applicant decision: ['None']	2025-05-31T12:46:01Z
809759	Offer was edited: ['Conditionally accepted']	2025-05-31T12:46:02Z
809759	Offer was confirmed: ['Conditionally accepted']	2025-05-31T12:46:02Z
809759	Invoice was issued	2025-05-31T12:46:02Z
809759	Invoice was deleted	2025-05-31T12:46:09Z
809759	Invoice was issued	2025-05-31T12:46:17Z
809759	Application was flagged	2025-06-05T08:47:04Z
809759	Offer was edited: ['49']	2025-06-07T15:13:01Z
809759	Offer was confirmed: ['49']	2025-06-07T15:13:02Z
809759	Applicant decision: ['None']	2025-08-13T09:20:10Z
809759	Offer was edited: ['Accepted']	2025-08-13T09:20:10Z
809759	Offer was confirmed: ['Accepted']	2025-08-13T09:20:11Z
808464	Application was flagged	2025-04-27T13:00:53Z
808464	Offer was edited: ['Feedback']	2025-05-08T15:01:43Z
808464	Offer was confirmed: ['Feedback']	2025-05-08T15:01:43Z
808464	Interview was evaluated	2025-05-08T15:01:52Z
808464	Interview was evaluated	2025-05-16T11:30:36Z
808464	Applicant decision: ['None']	2025-06-03T13:41:28Z
808464	Offer was edited: ['Scholarship']	2025-06-03T13:41:28Z
808464	Offer was confirmed: ['Scholarship']	2025-06-03T13:41:28Z
808622	Application was flagged	2025-03-13T15:53:41Z
808622	Offer was edited: ['Failed']	2025-04-15T14:47:33Z
808622	Offer was confirmed: ['Failed']	2025-04-15T14:47:33Z
808622	Offer was edited: ['Failed']	2025-04-15T14:47:46Z
808622	Offer was confirmed: ['Failed']	2025-04-15T14:47:46Z
808622	Offer was edited: ['Unreplied']	2025-04-18T16:44:59Z
808622	Offer was edited: ['Unreplied']	2025-04-18T16:45:09Z
808622	Invoice was edited	2025-04-18T16:45:28Z
808622	Applicant decision: ['None']	2025-05-03T12:29:19Z
808622	Offer was edited: ['Conditionally accepted']	2025-05-03T12:29:19Z
808622	Offer was confirmed: ['Conditionally accepted']	2025-05-03T12:29:19Z
808622	Invoice was issued	2025-05-03T12:29:20Z
808622	Invoice was edited	2025-05-03T12:30:10Z
808622	Offer was edited: ['Other']	2025-05-03T12:30:20Z
808622	Invoice was edited	2025-05-08T09:39:13Z
808622	Interview was evaluated	2025-05-08T13:24:35Z
808622	Application was flagged	2025-05-13T09:39:31Z
808622	Interview was evaluated	2025-05-22T08:52:11Z
808622	Applicant decision: ['None']	2025-06-05T11:53:28Z
808622	Offer was edited: ['Scholarship']	2025-06-05T11:53:28Z
808622	Offer was confirmed: ['Scholarship']	2025-06-05T11:53:28Z
808622	Invoice was deleted	2025-06-05T11:53:49Z
808622	Invoice was issued	2025-06-05T11:53:58Z
808622	Applicant decision: ['Final']	2025-06-05T11:58:22Z
808622	Offer was edited: ['Conditionally accepted']	2025-06-05T11:58:22Z
808622	Offer was confirmed: ['Conditionally accepted']	2025-06-05T11:58:22Z
808221	Application was flagged	2025-05-08T12:00:03Z
808221	Invoice was deleted	2025-05-08T12:00:13Z
808221	Interview was evaluated	2025-05-16T16:22:11Z
808221	Application was flagged	2025-05-27T15:46:26Z
808221	Offer was edited: ['Failed']	2025-05-30T15:07:32Z
808221	Offer was confirmed: ['Failed']	2025-05-30T15:07:32Z
808221	Applicant decision: ['None']	2025-06-18T12:37:15Z
808221	Offer was edited: ['Scholarship']	2025-06-18T12:37:15Z
808221	Offer was confirmed: ['Scholarship']	2025-06-18T12:37:16Z
808221	Applicant decision: ['None']	2025-06-18T12:38:26Z
808221	Offer was edited: ['Conditionally accepted']	2025-06-18T12:38:26Z
808221	Offer was confirmed: ['Conditionally accepted']	2025-06-18T12:38:26Z
808221	Invoice was issued	2025-06-18T12:38:26Z
808221	Offer was edited: ['Other']	2025-06-18T12:38:34Z
808221	Offer was confirmed: ['Other']	2025-06-18T12:38:34Z
808221	Invoice was deleted	2025-06-18T12:38:40Z
808221	Invoice was issued	2025-06-18T12:38:48Z
808221	Invoice was collected	2025-07-01T16:12:16Z
808221	Invoice was collected in full	2025-07-01T16:12:16Z
808221	Applicant decision: ['Final']	2025-07-15T14:31:19Z
808221	Offer was edited: ['49']	2025-07-15T14:31:19Z
808221	Offer was confirmed: ['49']	2025-07-15T14:31:19Z
808221	Applicant decision: ['Final']	2025-08-05T15:11:19Z
808221	Offer was edited: ['Accepted']	2025-08-05T15:11:19Z
808221	Offer was confirmed: ['Accepted']	2025-08-05T15:11:19Z
808841	Application was flagged	2025-04-15T14:59:14Z
808841	Invoice was deleted	2025-04-15T14:59:19Z
808841	Application was flagged	2025-04-16T15:18:14Z
808841	Interview was evaluated	2025-04-18T13:56:33Z
808841	Application was flagged	2025-04-25T15:07:28Z
808841	Interview was evaluated	2025-05-28T14:31:28Z
808841	Applicant decision: ['None']	2025-05-31T11:14:52Z
808841	Offer was edited: ['Conditionally accepted']	2025-05-31T11:14:52Z
